item_id,h_raw,h_icc,n_resp,n_clusters_used,topic,het_quartile,role_standard,role_adversarial,h_raw_coarse,h_icc_coarse
vote16,0.5034659677267828,0.48513106098424713,2995,122,politics,q4,anchor,target,0.3517701203666827,0.3556501896457833
pres16,0.14021587675916589,0.08688908812564763,1890,113,politics,q3,anchor,target,0.038219258375347474,0.027075126617695018
if16who,0.10764671880682074,0.019332755010566634,831,76,politics,q1,anchor,target,0.02807038472454224,0.0011590349042580597
polviews,0.13542703746687618,0.10195633223231979,3160,122,politics,q3,anchor,target,0.0524809635428834,0.04671720098193772
natspac,0.13800665564039044,0.06756333436853017,1576,121,science_environment,q2,anchor,anchor,0.03706132191378372,0.022452594264071223
natenvir,0.16016261413839133,0.09467415407254394,1639,121,science_environment,q3,anchor,anchor,0.05078312168921065,0.037562100321143946
natheal,0.1403581096159234,0.07320885196546957,1641,121,health_wellbeing,q2,target,target,0.03210805819526929,0.01786858051527696
natcity,0.12198158722747743,0.0510781513191788,1583,120,econ_inequality,q1,target,anchor,0.026855636807629053,0.01178201853796072
natcrime,0.149435428884254,0.08278154983475619,1634,121,crime_justice,q3,target,anchor,0.023947755688636385,0.009176138721145151
natdrug,0.13684552397889604,0.06901627196055919,1633,121,health_wellbeing,q2,target,target,0.031094779171923742,0.01672158027157761
nateduc,0.11474496553248204,0.046097456412115365,1658,121,education_policy,q1,anchor,anchor,0.022950482553778673,0.008352879718639548
natrace,0.12684944916093738,0.05639765302822727,1583,120,race_ethnicity,q1,anchor,anchor,0.032317010088081466,0.0175509154407242
natarms,0.21614115723661956,0.15486273212625723,1622,121,politics,q4,anchor,target,0.09870019251844449,0.08783640000332688
nataid,0.13528374435625284,0.06639042992300667,1613,121,politics,q2,anchor,target,0.040581649000217886,0.026547165018486734
natfare,0.11423857216892443,0.044292208227704764,1631,121,econ_inequality,q1,anchor,anchor,0.02652927210216751,0.011876303867492987
natroad,0.13040244468399745,0.09764992213939393,3244,122,politics,q3,target,target,0.07342133787788058,0.06881050061553737
natsoc,0.11128853681700294,0.07712031290527753,3200,122,econ_inequality,q2,target,anchor,0.051021413578861564,0.04529684058847064
natchld,0.07464126048329459,0.038556278469990206,3191,122,gender_family,q1,target,anchor,0.02206708943951522,0.01493614227996663
natsci,0.08392027748391576,0.04767707013634455,3140,122,science_environment,q1,target,anchor,0.02152855915536481,0.014238018345828263
natenrgy,0.0789020447669356,0.04293709224055285,3183,122,science_environment,q1,anchor,anchor,0.030535816324242494,0.023793593353640615
natspacy,0.15404144569751926,0.08330980875571523,1539,121,science_environment,q3,target,anchor,0.03708776741994297,0.022092983882778108
natenviy,0.16392174890998937,0.0967572193681912,1580,120,science_environment,q3,anchor,anchor,0.05194517008348604,0.03825291779872911
nathealy,0.1245936337857165,0.054288427230443206,1603,121,health_wellbeing,q1,target,target,0.02628937796117531,0.011345039014144255
natcityy,0.16275810190655435,0.09160910627770749,1515,121,econ_inequality,q3,anchor,anchor,0.04776692188383836,0.03310503913532462
natcrimy,0.1950248563379417,0.13040185674657515,1587,121,crime_justice,q4,target,anchor,0.11031891971133444,0.09974743283026344
natdrugy,0.13198255841907047,0.06100104021727139,1562,120,health_wellbeing,q1,anchor,target,0.039550315273288915,0.024982968199983847
nateducy,0.15224619712335954,0.08451409743383825,1604,121,education_policy,q3,anchor,anchor,0.052559993016727265,0.039104489609935296
natracey,0.16420295551888053,0.0924866317250688,1489,120,race_ethnicity,q3,target,anchor,0.061504551806206786,0.0473631694552377
natarmsy,0.1569821839514099,0.08785301808118301,1566,121,politics,q3,anchor,target,0.06644715748173563,0.05336946218762356
nataidy,0.16192208862726348,0.09398674646055809,1581,121,politics,q3,anchor,target,0.06237822730903883,0.04923615138857741
natfarey,0.14836963944512271,0.07966827058482856,1591,121,econ_inequality,q2,anchor,anchor,0.04528655257629151,0.03130300837809528
eqwlth,0.22296639343872476,0.13182881185318032,977,105,econ_inequality,q4,target,anchor,0.09546432921029427,0.0758765542261711
tax,0.11155145954857194,0.05984091028798044,2177,122,econ_inequality,q1,target,anchor,0.029368348102490387,0.018829793261871067
spkath,0.20116542007384897,0.11355548519662152,1091,110,politics,q4,target,target,0.0754983600563364,0.05677975775508097
colath,0.12877600670332964,0.07834188450861607,2180,122,politics,q2,target,target,0.05515173267285845,0.04594684573841634
libath,0.21976120483070402,0.13366676395394195,1073,109,politics,q4,target,target,0.05918825753774035,0.03920450678789621
spkrac,0.18338496261928158,0.09363176280337708,1081,109,politics,q3,target,target,0.08208427801369196,0.06366325287661667
colrac,0.10097200678713136,0.04853054416725184,2177,122,politics,q1,anchor,target,0.02367432487126023,0.012836200687978265
librac,0.18769981000974198,0.09798021260776457,1076,109,politics,q3,anchor,target,0.06315834559764286,0.04348133988912458
spkcom,0.22503028007076648,0.1378971021646626,1065,110,politics,q4,anchor,target,0.08603480428408945,0.06743678666693809
colcom,0.21339518945143926,0.12507876959336386,1038,107,politics,q4,anchor,target,0.07709958886172873,0.05761495789000966
libcom,0.1799930310695878,0.08836548848822398,1066,109,politics,q3,target,target,0.04668436425804254,0.025771333511735595
spkmslm,0.2013970077537497,0.11241312539000947,1076,110,politics,q3,target,target,0.06287757901662094,0.04308448850767684
colmslm,0.11507856689586768,0.06353189089033717,2174,122,politics,q2,anchor,target,0.03328163262558274,0.022933757321549966
libmslm,0.20160701685762702,0.11340638444258554,1084,110,politics,q3,anchor,target,0.06360703795088972,0.044019072105232517
cappun,0.11981247001441456,0.06568503542695635,2067,122,crime_justice,q2,anchor,anchor,0.04197094067608947,0.03146881880620667
gunlaw,0.11105086425614878,0.05968062734546904,2191,122,crime_justice,q1,anchor,anchor,0.03089022074092181,0.020508736551914448
courts,0.1382291362417715,0.022602296571227386,701,84,crime_justice,q1,anchor,anchor,0.031835657592924824,0.0010859047017196556
grass,0.1600530976773657,0.04905525273008309,777,92,crime_justice,q1,anchor,anchor,0.06417783919450785,0.03766142246439207
fund,0.12220952714786093,0.08674176218353648,3048,122,religion_morality,q3,anchor,anchor,0.054849823987462396,0.04891375125846289
reliten,0.21186931497997993,0.14258457955405665,1400,116,religion_morality,q4,anchor,anchor,0.09326151575405911,0.08000490493733829
postlife,0.13961693686564455,0.0550432103313131,1256,114,religion_morality,q1,target,anchor,0.04271328304396587,0.024664135775830324
pray,0.13552504200355117,0.1032705460535397,3269,122,religion_morality,q3,target,anchor,0.06557350173964366,0.06067291169975989
prayer,0.18539576506648245,0.08196254485109396,811,93,religion_morality,q2,target,anchor,0.06564869698952516,0.040508846339074575
bible,0.1698596592718171,0.0970137794141676,1410,116,religion_morality,q3,anchor,anchor,0.06342569178740405,0.04863329888973799
racopen,0.17195959534534166,0.07208395875917653,905,99,race_ethnicity,q2,anchor,anchor,0.05188493142556086,0.028182513298486884
raclive,0.16195684308464303,0.12786377346118377,2998,122,race_ethnicity,q4,anchor,anchor,0.1030233292013294,0.09910208954089963
affrmact,0.12343377755482447,0.06791358325919875,2010,122,race_ethnicity,q2,target,anchor,0.0330204412155799,0.021691290650213385
wrkwayup,0.1327635581183262,0.08128370588921584,2130,122,race_ethnicity,q2,anchor,anchor,0.0532250917338487,0.04366261624531826
happy,0.08546435770292979,0.05096079493221473,3281,122,health_wellbeing,q1,target,target,0.026827274587679698,0.02014903354151748
hapmar,0.11530071025604063,0.039159173957764845,1306,105,gender_family,q1,anchor,anchor,0.025817682561953062,0.007763722479680772
health,0.1575391789571942,0.12659807977886836,3294,122,health_wellbeing,q4,target,target,0.03130231404724305,0.02486916073269206
life,0.1371085516559079,0.08821536589434817,2220,122,health_wellbeing,q3,target,target,0.032509740373658544,0.022365692228844145
helpful,0.1761588868466137,0.07279886289558798,874,99,civic_trust,q2,anchor,anchor,0.04620826455372392,0.020926258302369993
fair,0.22926370540192356,0.13379695800661068,870,98,civic_trust,q4,anchor,anchor,0.09303733107577022,0.07092830135743015
trust,0.2663335324693767,0.1761350707723571,881,99,civic_trust,q4,target,anchor,0.13120502955336416,0.11165099334857694
confinan,0.1330349250820475,0.0824729882469289,2164,122,civic_trust,q3,anchor,anchor,0.028205605673442897,0.017537213634801586
conbus,0.09707690896458611,0.04334541692463237,2139,122,civic_trust,q1,target,anchor,0.02399674654778568,0.012965295386496543
conclerg,0.12642971909606002,0.074301170154603,2122,122,civic_trust,q2,target,anchor,0.05099650401400399,0.041275984617117595
coneduc,0.13615614975311388,0.08580366415293114,2164,122,civic_trust,q3,anchor,anchor,0.034168821983399725,0.023814517397919174
confed,0.11713036125250664,0.0649698818449029,2145,122,civic_trust,q2,target,anchor,0.02591894396780468,0.015024182641019672
conlabor,0.1784817382351041,0.08059835111277228,1017,110,civic_trust,q2,anchor,anchor,0.05931437127135052,0.03804198518112986
conpress,0.13038136544484566,0.07906286833159601,2142,122,civic_trust,q2,anchor,anchor,0.02768425507210292,0.016867105230587855
conmedic,0.13443347357616994,0.08383722948198195,2159,122,civic_trust,q3,target,anchor,0.036168902031662446,0.025891038725704713
